date,team,player,value,player_team,cum_sum,pk
2023-10-21,Manchester City,Julian Alvarez,1,julianalvarez_manchestercity,4.0,0.0
2023-10-21,Arsenal,Leandro Trossard,1,leandrotrossard_arsenal,2.0,0.0
2023-10-21,Wolves,Matheus Cunha,1,matheuscunha_wolves,2.0,0.0
2023-10-21,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,7.0,3.0
2023-10-21,Brentford,Yoane Wissa,1,yoanewissa_brentford,3.0,0.0
2023-10-22,West Ham,Jarrod Bowen,1,jarrodbowen_westham,6.0,0.0
2023-10-22,Aston Villa,Leon Bailey,1,leonbailey_astonvilla,3.0,0.0
2023-10-22,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,5.0,0.0
2023-10-23,Tottenham,Son Heung-min,1,sonheungmin_tottenham,7.0,0.0
2023-10-27,Tottenham,Son Heung-min,1,sonheungmin_tottenham,8.0,0.0
2023-10-28,Wolves,Hwang Hee-chan,1,hwangheechan_wolves,6.0,0.0
2023-10-29,Liverpool,Darwin Nunez,1,darwinnunez_liverpool,4.0,0.0
2023-10-29,Liverpool,Diogo Jota,1,diogojota_liverpool,3.0,0.0
2023-10-29,Manchester City,Erling Haaland,2,erlinghaaland_manchestercity,11.0,2.0
2023-10-29,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,8.0,3.0
2023-10-29,Manchester City,Phil Foden,1,philfoden_manchestercity,2.0,0.0
2023-11-04,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,4.0,0.0
2023-11-04,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,3.0,1.0
2023-11-04,West Ham,Jarrod Bowen,1,jarrodbowen_westham,7.0,0.0
2023-11-04,Manchester City,Phil Foden,1,philfoden_manchestercity,3.0,0.0
2023-11-06,Chelsea,Cole Palmer,1,colepalmer_chelsea,3.0,3.0
2023-11-06,Chelsea,Nicolas Jackson,3,nicolasjackson_chelsea,5.0,0.0
2023-11-11,Bournemouth,Dominic Solanke,2,dominicsolanke_bournemouth,6.0,0.0
2023-11-11,Crystal Palace,Eberechi Eze,1,eberechieze_crystalpalace,2.0,1.0
2023-11-11,Arsenal,Leandro Trossard,1,leandrotrossard_arsenal,3.0,0.0
2023-11-12,Chelsea,Cole Palmer,1,colepalmer_chelsea,4.0,4.0
2023-11-12,Liverpool,Diogo Jota,1,diogojota_liverpool,4.0,0.0
2023-11-12,Manchester City,Erling Haaland,2,erlinghaaland_manchestercity,13.0,3.0
2023-11-12,West Ham,Jarrod Bowen,1,jarrodbowen_westham,8.0,0.0
2023-11-12,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,10.0,3.0
2023-11-12,Chelsea,Nicolas Jackson,1,nicolasjackson_chelsea,6.0,0.0
2023-11-12,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,6.0,0.0
2023-11-25,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,7.0,1.0
2023-11-25,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,5.0,0.0
2023-11-25,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,14.0,3.0
2023-11-25,Arsenal,Kai Havertz,1,kaihavertz_arsenal,2.0,1.0
2023-11-25,Crystal Palace,Michael Olise,1,michaelolise_crystalpalace,1.0,0.0
2023-11-26,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,7.0,0.0
2023-11-27,Wolves,Hwang Hee-chan,1,hwangheechan_wolves,7.0,1.0
2023-11-27,Wolves,Matheus Cunha,1,matheuscunha_wolves,3.0,0.0
2023-12-02,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,6.0,0.0
2023-12-02,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,5.0,2.0
2023-12-02,Wolves,Matheus Cunha,1,matheuscunha_wolves,4.0,0.0
2023-12-03,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,7.0,0.0
2023-12-03,Aston Villa,Leon Bailey,1,leonbailey_astonvilla,4.0,0.0
2023-12-03,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,8.0,0.0
2023-12-03,Manchester City,Phil Foden,1,philfoden_manchestercity,4.0,0.0
2023-12-03,Tottenham,Son Heung-min,1,sonheungmin_tottenham,9.0,0.0
2023-12-05,Luton Town,Elijah Adebayo,1,elijahadebayo_lutontown,3.0,0.0
2023-12-05,Wolves,Hwang Hee-chan,1,hwangheechan_wolves,8.0,1.0
2023-12-05,Arsenal,Kai Havertz,1,kaihavertz_arsenal,3.0,1.0
2023-12-06,Chelsea,Cole Palmer,1,colepalmer_chelsea,5.0,4.0
2023-12-06,Aston Villa,Leon Bailey,1,leonbailey_astonvilla,5.0,0.0
2023-12-07,West Ham,Jarrod Bowen,1,jarrodbowen_westham,9.0,0.0
2023-12-09,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,8.0,0.0
2023-12-09,Crystal Palace,Jean-Philippe Mateta,1,jeanphilippemateta_crystalpalace,1.0,1.0
2023-12-09,Wolves,Matheus Cunha,1,matheuscunha_wolves,5.0,0.0
2023-12-09,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,11.0,3.0
2023-12-10,Luton Town,Elijah Adebayo,1,elijahadebayo_lutontown,4.0,0.0
2023-12-10,Tottenham,Richarlison,2,richarlison_tottenham,3.0,0.0
2023-12-10,Tottenham,Son Heung-min,1,sonheungmin_tottenham,10.0,1.0
2023-12-15,Tottenham,Richarlison,1,richarlison_tottenham,4.0,0.0
2023-12-16,Chelsea,Cole Palmer,1,colepalmer_chelsea,6.0,4.0
2023-12-16,Crystal Palace,Jean-Philippe Mateta,1,jeanphilippemateta_crystalpalace,2.0,1.0
2023-12-16,Crystal Palace,Michael Olise,1,michaelolise_crystalpalace,2.0,1.0
2023-12-16,Chelsea,Nicolas Jackson,1,nicolasjackson_chelsea,7.0,0.0
2023-12-17,West Ham,Jarrod Bowen,1,jarrodbowen_westham,10.0,0.0
2023-12-17,Arsenal,Kai Havertz,1,kaihavertz_arsenal,4.0,1.0
2023-12-17,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,9.0,0.0
2023-12-23,Nott'ham Forest,Chris Wood,1,chriswood_notthamforest,4.0,0.0
2023-12-23,Bournemouth,Dominic Solanke,3,dominicsolanke_bournemouth,11.0,0.0
2023-12-23,West Ham,Jarrod Bowen,1,jarrodbowen_westham,11.0,0.0
2023-12-23,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,12.0,3.0
2023-12-23,Tottenham,Richarlison,1,richarlison_tottenham,5.0,0.0
2023-12-23,Tottenham,Son Heung-min,1,sonheungmin_tottenham,11.0,1.0
2023-12-26,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,8.0,2.0
2023-12-26,Nott'ham Forest,Chris Wood,3,chriswood_notthamforest,7.0,0.0
2023-12-26,Liverpool,Darwin Nunez,1,darwinnunez_liverpool,5.0,0.0
2023-12-26,Liverpool,Diogo Jota,1,diogojota_liverpool,5.0,0.0
2023-12-26,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,12.0,1.0
2023-12-26,Manchester Utd,Rasmus Hojlund,1,rasmushojlund_manchesterutd,1.0,0.0
2023-12-27,Wolves,Hwang Hee-chan,2,hwangheechan_wolves,10.0,1.0
2023-12-27,Manchester City,Julian Alvarez,1,julianalvarez_manchestercity,5.0,1.0
2023-12-27,Crystal Palace,Michael Olise,1,michaelolise_crystalpalace,3.0,1.0
2023-12-27,Manchester City,Phil Foden,1,philfoden_manchestercity,5.0,0.0
2023-12-27,Brentford,Yoane Wissa,1,yoanewissa_brentford,4.0,0.0
2023-12-30,Chelsea,Cole Palmer,2,colepalmer_chelsea,8.0,4.0
2023-12-30,Crystal Palace,Eberechi Eze,1,eberechieze_crystalpalace,3.0,1.0
2023-12-30,Luton Town,Elijah Adebayo,1,elijahadebayo_lutontown,5.0,0.0
2023-12-30,Manchester City,Julian Alvarez,1,julianalvarez_manchestercity,6.0,1.0
2023-12-30,Aston Villa,Leon Bailey,1,leonbailey_astonvilla,6.0,0.0
2023-12-30,Wolves,Matheus Cunha,1,matheuscunha_wolves,6.0,0.0
2023-12-30,Crystal Palace,Michael Olise,2,michaelolise_crystalpalace,5.0,1.0
2023-12-31,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,6.0,2.0
2023-12-31,Tottenham,Richarlison,1,richarlison_tottenham,6.0,0.0
2023-12-31,Tottenham,Son Heung-min,1,sonheungmin_tottenham,12.0,1.0
2024-01-01,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,9.0,2.0
2024-01-01,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,14.0,4.0
2024-01-12,Luton Town,Carlton Morris,1,carltonmorris_lutontown,4.0,2.0
2024-01-13,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,10.0,2.0
2024-01-13,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,7.0,0.0
2024-01-13,Chelsea,Cole Palmer,1,colepalmer_chelsea,9.0,5.0
2024-01-14,Manchester Utd,Rasmus Hojlund,1,rasmushojlund_manchesterutd,2.0,0.0
2024-01-14,Tottenham,Richarlison,1,richarlison_tottenham,7.0,0.0
2024-01-20,Nott'ham Forest,Chris Wood,1,chriswood_notthamforest,8.0,0.0
2024-01-20,Arsenal,Leandro Trossard,1,leandrotrossard_arsenal,4.0,0.0
2024-01-21,Liverpool,Darwin Nunez,2,darwinnunez_liverpool,7.0,0.0
2024-01-21,Liverpool,Diogo Jota,2,diogojota_liverpool,7.0,0.0
2024-01-30,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,7.0,2.0
2024-01-30,Crystal Palace,Eberechi Eze,2,eberechieze_crystalpalace,5.0,1.0
